user,text,favorite_count,retweet_count,created_at
seawatch_intl,Conditions have continued to deteriorate since 2017. We demand that these blatant violations of people's rights cease immediately and that those who feel their rights have been violated are adequately compensated. (2/2),12,3,2023-04-03 10:42:51+00:00
seawatch_intl,"🔴Italy violates the rights of people on the run. This is confirmed not only by NGOs but also by the European Court of Human Rights itself. The conditions at the Lampedusa hotspot constitute ""inhuman and degrading treatment."" (1/2) https://t.co/5qNpQ0wflu",45,18,2023-04-03 10:42:16+00:00
seawatch_intl,"We continue to fight for freedom of movement and the right of asylum for all and demand legal and safe escape routes. With the #SeaWatch5, we are setting a humanitarian example. Support the rebuilding &amp; our work with your donation: https://t.co/O1c1HnPAEh https://t.co/d0rpAjl1Q5",86,22,2023-04-02 16:40:08+00:00
seawatch_intl,"During this life-threatening interception by the Libyan patrol boat 644, an aircraft from the Armed Forces Malta was on-scene.
Despite the human rights abuses in Libya, people on the move continue to be intercepted and illegally returned with the support of the EU. https://t.co/D5y6eHMr6b",52,28,2023-04-01 16:01:05+00:00
seawatch_intl,"140 people were intercepted in the Mediterranean.
We watched today how the so-called Libyan Coast Guard intercepted three boats in distress. During one of these interceptions, several people fell overboard without life jackets. Fortunately, it seems that all of them survived. https://t.co/1YsAVAsLs9",159,70,2023-04-01 16:01:04+00:00
seawatch_intl,"We stand in solidarity with @RefugeesTunisia and their protest in front of the #UNHCR in Tunis.

The racist attacks, police violence &amp; hate against people on the move in the country must stop! https://t.co/64KcjUtWp3",42,20,2023-03-31 15:42:04+00:00
seawatch_intl,"According to the Tunisian News Agency, morgues and coroners in #Sfax are overwhelmed by the number of dead bodies of people on the move reported. Yet most of the dead remain in the sea. #Tunisia https://t.co/RrNx42hVJB",37,31,2023-03-31 13:51:44+00:00
seawatch_intl,"Urgently wanted: Able Seafarers and Deckhands for all our ships. Get active and support our work on the #SeaWatch3, #SeaWatch5, and #Aurora. Starting from now for the upcoming months. To join our crew, please apply via our website: https://t.co/cToGGoNnb9 https://t.co/Ek5Xv7IPnC",88,71,2023-03-30 11:53:50+00:00
seawatch_intl,Consequences of the new decree-law regulating civil sea rescue under Giorgia Meloni are immediately visible. We demand the immediate release of the @MVLouiseMichel &amp; a policy that prevents dying in the Mediterranean instead of accepting more deaths out of political calculation!,32,10,2023-03-29 15:58:18+00:00
seawatch_intl,"The demands on the Italian Coast Guard can hardly be overlooked. Yet, it is not an argument for the many people dying off the Italian coast. Instead of involving civil sea rescue ships in rescue operations, the Italian government blocks available sea rescue ships. https://t.co/yewFdQXBGA",39,13,2023-03-29 15:57:16+00:00
